Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Poland,5.420409482,2.973722702,2.055034757,2.465715255,5.436082526,3.60646881,6.230884798,5.834344265,2.731212885,3.189402708,3.833616029,3.508225531,1.475958303,0.152586408,3.645499531,3.152914283,3.876390809,2.233960434,3.000294614,2.41649877
Sweden,8.681415099,7.515726816,6.888405483,1.796893434,4.376489265,5.29875781,5.212242599,9.393030906,8.003875183,2.052717485,0.126076303,1.21571596,0.773512654,0.224393965,-1.481928904,2.030142908,3.033481253,5.183562311,-0.171462445,3.126715841
Zambia,3.379914273,3.541352382,7.11494945,7.078974814,5.851719252,4.284032189,4.827128722,9.418111673,5.240508113,4.532779776,8.533196438,4.725161569,6.789381241,7.489325056,5.555427918,7.44741669,3.162519748,4.280501171,1.552311176,2.350916913
Austria,4.319625509,2.883092982,0.064836384,2.367260905,1.058027579,25.66539715,3.125149478,17.71734068,1.464380046,3.573476841,-5.615650034,5.331213212,1.274621024,0.104891998,0.387373362,-2.088896441,-7.315883244,3.248108752,-6.277634789,-1.81997835
El Salvador,1.471370927,2.270704149,3.711251875,1.066151837,2.646812423,3.477615671,1.5070732,9.114346954,5.020601116,2.094863995,-0.613406193,0.603930549,2.011239459,1.114908066,2.240896128,2.109978045,1.981980316,2.016883708,1.586204787,2.588749059
France,3.038290685,3.64281272,3.449839003,2.301072654,1.683027874,3.876692772,3.405385576,3.152836846,2.329970036,0.684810626,1.471630163,1.544897075,1.227526406,1.123742809,0.203525272,1.756429965,1.32739278,1.385542745,2.569517902,1.879520176
Panama,6.727830486,4.853618218,1.901601489,7.67198366,8.511739897,6.744677127,16.22949045,10.44328348,9.500757608,4.003077727,8.658539485,12.67247493,8.364890167,8.331158621,9.984495627,9.464096222,9.063310147,6.39340093,8.451256513,8.820948234
Portugal,6.163923495,5.031968341,0.438216202,6.280810728,1.314660415,1.708049172,6.421705785,2.504110208,2.980457807,2.292077035,3.769497772,4.011923267,9.894890439,6.955539735,5.246519844,0.637193025,3.565345918,4.83845416,3.239576964,4.313863402
Thailand,2.663128488,4.212235095,2.488154004,3.43593844,3.389473689,4.339583844,4.021258511,3.283571201,2.938248966,2.275903967,4.3232086,0.667086923,3.244565278,3.791268581,1.221451939,2.224684385,0.843364747,1.815502013,2.60285045,0.884981573
Ecuador,-0.127889942,2.20108486,2.743572519,2.6871311,2.28724133,1.188746055,0.579950851,0.380084251,1.712044864,0.493652336,0.23850542,0.814974201,0.645345742,0.76430549,0.759282222,1.332154559,0.756426152,0.598748023,1.290265188,0.88948852
Haiti,0.192904994,0.069129042,0.093337535,0.275986856,0.098244885,0.368796717,2.167696038,0.799701675,0.286911294,0.49219947,1.526379025,0.914769037,1.137944234,1.116827787,0.669336542,0.711296044,0.764395189,2.637258266,0.657661086,0.523298532
Honduras,4.86983495,4.049400435,3.65622672,4.740557725,6.676054831,6.160269033,6.57287027,7.822232813,8.650222938,3.389872002,3.834605747,5.886801112,5.836094927,5.778627102,8.629014199,6.275950434,5.28156557,4.105923264,5.993854186,3.806680652
Malaysia,4.038428624,0.597029318,3.166124323,2.920942095,3.50787262,2.734393126,4.727194488,4.686888049,3.280787035,0.056692268,4.268663866,5.074455346,2.829056466,3.494301779,3.141267795,3.270949054,4.471319287,2.935792391,2.315063329,2.495617523
Morocco,1.097744357,7.158102454,1.137290892,4.442277216,1.498214019,2.679705952,3.585019771,3.575094994,2.666048499,2.120969595,1.330904482,2.487274621,2.892094421,3.146163799,3.202529638,3.21498327,2.084337943,2.443511303,3.001270496,1.437610964
New Zealand,-2.865294556,0.481362353,4.275332532,-3.811793238,2.232630391,1.662015177,2.611329337,3.160244448,1.946923958,-0.043160566,0.195407936,0.819062219,2.183166076,-0.036415684,1.615174167,-0.041205748,0.99241736,1.011689767,1.231793096,1.407412384
Peru,1.564790193,2.199224502,3.935620845,2.273086425,2.394892075,3.390348169,3.910656805,5.374286559,5.743356976,5.32237544,5.730826615,4.472626582,7.071142424,4.884294585,1.95724657,4.380260592,3.511826109,3.251307337,2.914934339,3.891923078
Botswana,0.987700169,0.558884524,7.501528068,5.565281275,4.363836574,4.242949051,4.802907024,4.521727883,4.759383734,2.032693008,1.707873139,1.909904823,1.015883955,0.450529647,3.170213496,2.625094327,0.910899737,1.497077423,1.532181285,1.420994768
Jamaica,4.659600175,6.269904202,4.566304985,7.247967007,5.497634527,5.673332063,7.060609234,6.34318939,10.0413032,4.00285637,1.405202763,1.195993686,2.791456896,3.81898359,4.188352814,6.519007959,6.592097091,6.00199763,4.924230845,4.203305436
Singapore,16.14923704,18.93961756,6.653710473,17.46258577,21.20237251,15.11338609,26.32660553,26.16195416,7.023479676,12.07096993,23.06933632,17.59636716,18.74388439,20.93448104,21.81934907,22.65377074,21.30480792,29.35487192,22.10501951,32.16983711
South Africa,0.71048561,5.983101185,1.281411708,0.446850319,0.30684716,2.530174027,0.229456347,2.199883486,3.447015663,2.576394037,0.983955561,0.994020534,1.167208533,2.24423643,1.650494017,0.478917399,0.74751226,0.58891594,1.512253491,1.45578762
South Korea,,,,,,,,,,,,,,,,,,,,
Kenya,0.872895972,0.040833358,0.210062253,0.548412532,0.286194264,0.113202055,0.196219537,2.281276095,0.266289351,0.314031963,0.445159513,3.45730966,2.737734058,2.03064526,1.335981373,0.968195196,0.981089215,1.603415701,1.852298221,1.395176769
Bahamas,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,8.332988117,9.460759606,11.18749309,7.149642864,7.51565755,5.879635792,4.805284166,3.835202716,10.04894327,3.698591117,2.47947143,0.161394393,-7.391729921,-4.143854315,2.395050925,0.708456527,-0.105413666,-2.103522908,-2.956875325,0.792701554
Djibouti,0.596129446,0.592742007,0.580649337,2.286739804,5.786694826,3.133262929,14.08394014,23.03889364,22.78584382,9.232551529,3.234153297,6.375384839,8.126150917,14.0004927,6.908369317,5.919046556,6.145400438,5.994400796,5.642665442,5.263736896
Indonesia,-2.757439934,-1.855686193,0.074151638,-0.25425632,0.73824398,2.916114843,1.347942646,1.603010572,1.826329024,0.90391942,2.025179138,2.302984285,2.309780327,2.551356334,2.819972605,2.297616387,0.487372471,2.019489201,1.814289797,2.23337923
Mauritania,2.253187637,4.392735228,3.789427799,4.970775932,17.10484024,27.65203618,3.944344679,3.206769223,6.583584405,-0.065160338,2.318904272,8.70334474,20.6013054,15.58901996,7.623617042,8.135857773,4.237313191,8.704871387,10.96144937,-11.62480987
Denmark,21.93809364,5.63524699,2.480308516,0.543258463,-3.502430805,4.857700582,0.843187065,3.697114116,0.620106753,1.173902421,-3.654669083,3.941503188,-4.997670326,0.198012181,1.863305283,0.611475183,2.49237426,1.086132947,2.281496066,-2.142009878
